level,pitcher,roles
1,305,Closer
1,344,Closer
1,354,Versatile Reliever
1,364,Versatile Reliever
1,367,Closer
1,378,Middle Reliever
1,402,Closer
1,411,Middle Reliever
1,418,Middle Reliever
1,437,Closer
1,465,Starting Pitcher
1,473,Versatile Reliever
1,504,Closer
1,521,Closer
1,523,Starting Pitcher
1,552,Closer
1,564,Closer
1,579,Middle Reliever
1,583,Middle Reliever
1,639,Middle Reliever
1,672,Closer
1,733,Versatile Reliever
1,741,Versatile Reliever
1,750,Closer
1,766,Middle Reliever
1,814,Versatile Reliever
1,877,Middle Reliever
1,906,Versatile Reliever
1,955,Closer
2,305,Middle Reliever
2,343,Middle Reliever
2,344,Closer
2,367,Middle Reliever
2,389,Middle Reliever
2,391,Middle Reliever
2,437,Closer
2,456,Middle Reliever
2,473,Versatile Reliever
2,504,Middle Reliever
2,549,Starting Pitcher
2,550,Versatile Reliever
2,551,Middle Reliever
2,552,Middle Reliever
2,576,Middle Reliever
2,585,Middle Reliever
2,602,Versatile Reliever
2,620,Middle Reliever
2,639,Closer
2,655,Closer
2,673,Closer
2,714,Closer
2,733,Versatile Reliever
2,808,Middle Reliever
2,814,Middle Reliever
2,819,Middle Reliever
2,849,Middle Reliever
2,859,Middle Reliever
2,886,Closer
2,893,Middle Reliever
2,913,Middle Reliever
2,943,Closer
2,949,Closer
2,955,Closer
2,961,Starting Pitcher
2,974,Middle Reliever
3,308,Closer
3,356,Closer
3,433,Starting Pitcher
3,436,Versatile Reliever
3,456,Middle Reliever
3,549,Closer
3,550,Closer
3,567,Middle Reliever
3,585,Closer
3,620,Closer
3,673,Closer
3,674,Starting Pitcher
3,677,Middle Reliever
3,808,Versatile Reliever
3,811,Middle Reliever
3,849,Starting Pitcher
3,873,Middle Reliever
3,891,Versatile Reliever
3,893,Starting Pitcher
3,900,Versatile Reliever
3,936,Middle Reliever
3,947,Closer
3,949,Middle Reliever
3,966,Starting Pitcher
3,978,Middle Reliever
3,987,Middle Reliever
4,318,Versatile Reliever
4,380,Versatile Reliever
4,389,Closer
4,420,Closer
4,484,Closer
4,585,Middle Reliever
4,612,Starting Pitcher
4,659,Versatile Reliever
4,671,Middle Reliever
4,674,Versatile Reliever
4,677,Versatile Reliever
4,722,Starting Pitcher
4,772,Versatile Reliever
4,792,Middle Reliever
4,811,Closer
4,835,Middle Reliever
4,843,Starting Pitcher
4,873,Versatile Reliever
4,900,Middle Reliever
4,918,Middle Reliever
4,924,Closer
4,933,Starting Pitcher
4,947,Closer
4,948,Closer
4,956,Versatile Reliever
4,964,Closer
4,978,Closer
4,987,Closer
4,995,Closer
